Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"RYAN, MP; FRENCH, J; ALMAHDAWI, S; NIHOYANNOPOULOS, P; CLELAND, JGF; OAKLEY, CM",,,,"RYAN, MP; FRENCH, J; ALMAHDAWI, S; NIHOYANNOPOULOS, P; CLELAND, JGF; OAKLEY, CM",,,AN AN ETHICAL DEBATE - GENETIC TESTING FOR FAMILIAL HYPERTROPHIC CARDIOMYOPATHY IN NEWBORN-INFANTS - CLINICIAN PERSPECTIVE,BRITISH MEDICAL JOURNAL,,,,,,,,,,,,"Identification of genes for hypertrophic cardiomyopathy has made preclinical diagnoses possible in families with a mutation. As yet, however, no treatment prevents the development of myocardial hypertrophy, and medical intervention has not been shown to improve prognosis. A team from Hammersmith Hospital carrying out research into genetic causes of the disease report that they were asked by a couple to screen their daughter at birth. The couple also give their view of screening. We asked two medical geneticists, a cardiologist, and a paediatrician with an interest in ethics to comment on the implications.",,,,,"Cleland, John G./AAZ-4185-2020","Cleland, John G./0000-0002-1471-7016",,,,,,,,,,,,,0959-8138,,,,,APR 1,1995,310.0,6983,,,,,856,857,,10.1136/bmj.310.6983.856,0,,,,,,,,7677835.0000,,,,,WOS:A1995QQ85700027,0.0
J,"Hartnoll, G; Betremieux, P; Modi, N",,,,"Hartnoll, G; Betremieux, P; Modi, N",,,Body water content of extremely preterm infants at birth,ARCHIVES OF DISEASE IN CHILDHOOD-FETAL AND NEONATAL EDITION,,,,,,,,,,,,"Background-Preterm birth is often associated with impaired growth. Small for gestational age status confers additional risk. Aim-To determine the body water content of appropriately grown (AGA) and small for gestational age (SGA) preterm infants in order to provide a baseline for longitudinal studies of growth after preterm birth. Methods-All infants born at the Hammersmith and Queen Charlotte's Hospitals between 25 and 30 weeks gestational age were eligible for entry into the study. Informed parental consent was obtained as soon after delivery as possible, after which the extracellular fluid content was determined by bromide dilution and total body water by (H2O)-O-18 dilution. Results-Forty two preterm infants were studied. SGA infants had a significantly higher body water content than AGA infants (906 (833-954) and 844 (637-958) ml/kg respectively; median (range); p = 0.019). There were no differences in extracellular and intracellular fluid volumes, nor in the ratio of extracellular to intracellular fluid. Estimates of relative adiposity suggest a body fat content of about 7% in AGA infants, assuming negligible fat content in SGA infants and lean body tissue hydration to be equivalent in the two groups. Conclusions-Novel values for the body water composition of the SGA preterm infant at 25-30 weeks gestation are presented. The data do not support the view that SGA infants have extracellular dehydration, nor is their regulation of body water impaired.",,,,,,,,,,,,,,,,,,,1359-2998,1468-2052,,,,JUL,2000,83.0,1,,,,,F56,F59,,10.1136/fn.83.1.F56,0,,,,,,,,10873174.0000,,,,,WOS:000088078400013,0.0
J,"Finkel, RS; Chiriboga, CA; Vajsar, J; Day, JW; Montes, J; De Vivo, DC; Yamashita, M; Rigo, F; Hung, G; Schneider, E; Norris, DA; Xia, ST; Bennett, CF; Bishop, KM",,,,"Finkel, Richard S.; Chiriboga, Claudia A.; Vajsar, Jiri; Day, John W.; Montes, Jacqueline; De Vivo, Darryl C.; Yamashita, Mason; Rigo, Frank; Hung, Gene; Schneider, Eugene; Norris, Daniel A.; Xia, Shuting; Bennett, C. Frank; Bishop, Kathie M.",,,"Treatment of infantile-onset spinal muscular atrophy with nusinersen: a phase 2, open-label, dose-escalation study",LANCET,,,,,,,,,,,,"Background Nusinersen is a 2'-O-methoxyethyl phosphorothioate-modified antisense drug being developed to treat spinal muscular atrophy. Nusinersen is specifically designed to alter splicing of SMN2 pre-mRNA and thus increase the amount of functional survival motor neuron (SMN) protein that is deficient in patients with spinal muscular atrophy. Methods This open-label, phase 2, escalating dose clinical study assessed the safety and tolerability, pharmacokinetics, and clinical efficacy of multiple intrathecal doses of nusinersen (6 mg and 12 mg dose equivalents) in patients with infantile-onset spinal muscular atrophy. Eligible participants were of either gender aged between 3 weeks and 7 months old with onset of spinal muscular atrophy symptoms between 3 weeks and 6 months, who had SMN1 homozygous gene deletion or mutation. Safety assessments included adverse events, physical and neurological examinations, vital signs, clinical laboratory tests, cerebrospinal fluid laboratory tests, and electrocardiographs. Clinical efficacy assessments included event free survival, and change from baseline of two assessments of motor function: the motor milestones portion of the Hammersmith Infant Neurological Exam-Part 2 (HINE-2) and the Children's Hospital of Philadelphia Infant Test of Neuromuscular Disorders (CHOP-INTEND) motor function test, and compound motor action potentials. Autopsy tissue was analysed for target engagement, drug concentrations, and pharmacological activity. HINE-2, CHOP-INTEND, and compound motor action potential were compared between baseline and last visit using the Wilcoxon signed-rank test. Age at death or permanent ventilation was compared with natural history using the log-rank test. The study is registered at ClinicalTrials.gov, number NCT01839656. Findings 20 participants were enrolled between May 3, 2013, and July 9, 2014, and assessed through to an interim analysis done on Jan 26, 2016. All participants experienced adverse events, with 77 serious adverse events reported in 16 participants, all considered by study investigators not related or unlikely related to the study drug. In the 12 mg dose group, incremental achievements of motor milestones (p< 0 . 0001), improvements in CHOP-INTEND motor function scores (p= 0 . 0013), and increased compound muscle action potential amplitude of the ulnar nerve (p= 0 . 0103) and peroneal nerve (p< 0 . 0001), compared with baseline, were observed. Median age at death or permanent ventilation was not reached and the Kaplan-Meier survival curve diverged from a published natural history case series (p= 0 . 0014). Analysis of autopsy tissue from patients exposed to nusinersen showed drug uptake into motor neurons throughout the spinal cord and neurons and other cell types in the brainstem and other brain regions, exposure at therapeutic concentrations, and increased SMN2 mRNA exon 7 inclusion and SMN protein concentrations in the spinal cord. Interpretation Administration of multiple intrathecal doses of nusinersen showed acceptable safety and tolerability, pharmacology consistent with its intended mechanism of action, and encouraging clinical efficacy. Results informed the design of an ongoing, sham-controlled, phase 3 clinical study of nusinersen in infantile-onset spinal muscular atrophy.",,,,,,"Day, John/0000-0002-0086-9529",,,,,,,,,,,,,0140-6736,1474-547X,,,,DEC 17,2016,388.0,10063,,,,,3017,3026,,10.1016/S0140-6736(16)31408-8,0,,,,,,,,27939059.0000,,,,,WOS:000390112300034,0.0
J,"CONWAY, F",,,,"CONWAY, F",,,"PROGRAMMED TEXT IN STATISTICS .1. SUMMARIZING DATA .2. BASIC THEORY .3. T-TEST AND X2 GOODNESS OF FIT .4. TESTS ON VARIANCE AND REGRESSION - HINE, J AND WETHERILL, GB",JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0035-9238,,,,,,1976,139.0,,,,,,548,548,,10.2307/2344366,0,,,,,,,,,,,,,WOS:A1976CT58200017,0.0
J,"Lind, A; Lapinleimu, H; Korkman, M; Lehtonen, L; Parkkola, R; Haataja, L",,,,"Lind, A.; Lapinleimu, H.; Korkman, M.; Lehtonen, L.; Parkkola, R.; Haataja, L.",,PIPARI Study Grp,Five-year follow-up of prematurely born children with postnatally developing caudothalamic cysts,ACTA PAEDIATRICA,,,,,,,,,,,,"Aim: To assess the long-term developmental outcome of very low birth weight children with postnatally developing caudothalamic cysts. Methods: Five very low birth weight children with postnatal caudothalamic cysts were examined using cranial ultrasound and brain Magnetic Resonance Imaging as neonates, the Bayley Scales of Infant Development, 2nd edition, and the Hammersmith Infant Neurological Examination at 2 years of corrected age, and with the Wechsler Preschool and Primary Scale of Intelligence-Revised and the standardization version of NEPSY II at 5 years of age. The Magnetic Resonance Imaging of the brain was repeated at 5 years of age. The developmental outcome at 5 years of age was compared with that of 23 very low birth weight children with normal brain structure. Results: A cognitive level below normal and/or neuropsychological impairments was seen in all the children with caudothalamic cysts as well as in those with normal brain structure. Conclusion: Very low birth weight children with postnatally developing caudothalamic cysts had cognitive and neuropsychological impairments similar to very low birth weight children without such cysts.",,,,,"Haataja, Leena/G-1160-2016; Lapinleimu, Helena/AAT-8415-2021; Stolt, Suvi/V-5060-2018; Haataja, Leena/GPG-3986-2022; Parkkola, Riitta/AAZ-1341-2020","Haataja, Leena/0000-0002-8057-6194; Stolt, Suvi/0000-0002-6029-5459; Lehtonen, Liisa/0000-0001-8925-2594",,,,,,,,,,,,,0803-5253,,,,,FEB,2010,99.0,2,,,,,304,307,,10.1111/j.1651-2227.2009.01530.x,0,,,,,,,,19832740.0000,,,,,WOS:000273449700030,0.0
J,"POSTELNICU, T",,,,"POSTELNICU, T",,,"PROGRAMMED TEXT IN STATISTICS .1. SUMMARIZING DATA .2. BASIC THEORY .3. T-TEST AND X2 GOODNESS OF FIT, .4. TESTS ON VARIANCE AND REGRESSION - HINE, J, WETHERILL, GB",INTERNATIONAL STATISTICAL REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0306-7734,,,,,,1978,46.0,1,,,,,118,118,,10.2307/1402519,0,,,,,,,,,,,,,WOS:A1978EZ32400015,0.0
J,"Chen, Y",,,,"Chen, Y.",,,Analysis deviation of the absorbed dose of thyroid for Graves' disease with hyperthyroidism treated by iodine-131 with simplified Quimby-Marinelli-Hine formula method,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619-7070,1619-7089,,,,OCT,2017,44.0,,,2,,OP-388,S259,S259,,,,,,,,,,,,,,,,WOS:000455019400266,0.0
J,"James, R",,,,"James, R",,,"Commentary on Kewell et al. (2002), Calman-Hine reassessed: a survey of cancer network development in England, 1999-2000. Journal of Evaluation in Clinical Practice 8, 303-311",JOURNAL OF EVALUATION IN CLINICAL PRACTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356-1294,,,,,AUG,2002,8.0,3,,,,,299,311,,,,,,,,,,,,,,,,WOS:000177369000002,0.0
J,"Medina-Alva, P; Duque, KR; Zea-Vera, A; Bellomo, S; Carcamo, C; Guillen-Pinto, D; Rivas, M; Tori, A; Zegarra, J; Cam, L; Castaneda, A; Villavicencio, A; Ochoa, TJ",,,,"Medina-Alva, Pilar; Duque, Kevin R.; Zea-Vera, Alonso; Bellomo, Sicilia; Carcamo, Cesar; Guillen-Pinto, Daniel; Rivas, Maria; Tori, Alfredo; Zegarra, Jaime; Cam, Luis; Castaneda, Anne; Villavicencio, Aasith; Ochoa, Theresa J.",,,Combined predictors of neurodevelopment in very low birth weight preterm infants,EARLY HUMAN DEVELOPMENT,,,,,,,,,,,,"Objective: To evaluate the combined prognostic value of neurological examination, head circumference and cranial ultrasound for neurodevelopmental delay (NDD) in very low birth weight (VLBW, < 1500 g) preterm infants. Methods: Prospective follow-up study. Preterm infants with VLWB were assessed for NDD using the Mullen Scales of Early Learning test at 24 months of corrected age. Abnormal neurological examination (>= 2 deviant items of Hammersmith neurological examination), microcephaly and major ultrasound abnormalities, each performed at term age, were evaluated as predictors of NDD in a multivariable Poisson model. Results: 35/132 infants (26.5%) had NDD. In the multivariable analysis, microcephaly (RR, 3.2; 95% CI, 1.6-6.7) and major ultrasound abnormalities (RR, 2.7; 95% CI, 1.3-5.7) were associated to NDD. The combination of the two tests showed the highest positive predictive value (100%; 95% CI, 51%-100%), while the combination of normal neurological examination, no major US findings and normal head size at term showed the highest negative predictive value (89%; 95% CI, 78%-95%). The maximum under receiver operating characteristic curve area was for microcephaly or major ultrasound abnormalities (AUC 0.74 (0.65-0.83)). Conclusion: The combination of head circumference, cranial ultrasound and neurological examination at term age is useful to predict NDD in VLBW preterm infants.",,,,,"Zea Vera, Alonso G/AAO-8943-2021; Duque, Kevin R./AGX-9937-2022; Vera, Alonso Zea/V-4515-2019","Zea Vera, Alonso G/0000-0002-8172-3117; Duque, Kevin R./0000-0002-5981-3140; Medina-Alva, Pilar/0000-0002-2475-5171",,,,,,,,,,,,,0378-3782,1872-6232,,,,MAR,2019,130.0,,,,,,109,115,,10.1016/j.earlhumdev.2019.01.019,0,,,,,,,,30743197.0000,,,,,WOS:000462801000017,0.0
J,"Herzig, PM; Hannington, MD; Arribas, A",,,,"Herzig, PM; Hannington, MD; Arribas, A",,,Sulfur isotopic composition of hydrothermal precipitates from the Lau back-arc: implications for magmatic contributions to seafloor hydrothermal systems,MINERALIUM DEPOSITA,,,,,,,,,,,,"The sulfur isotopic composition of sulfides and barite from hydrothermal deposits at the Valu Fa Ridge back-are spreading center in the southern Lau Basin has been investigated. Sulfide samples from the White Church area at the northern Valu Fa Ridge have delta(34)S values averaging +3.8 parts per thousand (n = 10) for bulk sphalerite-chalcopyrite mineralization and +4.8 parts per thousand for pyrite (It = IO). Barite associated with the massive sulfides exhibits an average of +20.7 parts per thousand, (rr = 10). Massive sulfides from the active Vai Lili hydrothermal field at the central Valu Fa Ridge have much higher delta(34)S ratios averaging +8.0 parts per thousand for bulk sphalerite-chalcopyrite mineralization (n = 5), +9.3 parts per thousand for pyrite samples (n = 5), and +8.0 parts per thousand, and +10.9 parts per thousand for a chalcopyrite and a sphalerite separate, respectively. The isotopic composition of barite from the Vai Lili field is similar to that of barite from the White Church area and averages +21.0 parts per thousand (n = 8). Sulfide and barite samples from the Hine Hina area at the southern Valu Fa Ridge have delta(34)S values that are considerably lighter than those observed for samples from the other areas and average -4.9 parts per thousand, for pyrite (n = 9), -4.0 and -5.7 parts per thousand for two samples of sphalerite-chalcopyrite intergrowth, and -3.4 parts per thousand, for a single chalcopyrite separate. The total spread in the isotopic composition of sulfides from Vai Lili and Hine Hina is more than 20 parts per thousand over a distance of less than 30 km. The delta(34)S values of sulfides at Hine Hina are the lowest values so far reported for volcanic-hosted polymetallic massive sulfides from the modem seafloor. Barite from the Hine Hina field also has unusually light sulfur with delta(34)S values of +16.1 to +16.7 parts per thousand, (n = 5). Isotopic compositions of the sulfides at Hine Hina indicate a dramatic decrease in delta(34)S from ordinary magmatic values and. in the absence of biogenic sulfur and/or boiling. imply a unique S-34-depleted source of probable magmatic origin. Sulfide-barite mineralization in the Hine Hina area is associated with a distinctive alteration assemblage consisting of cristobalite, pyrophyllite, kaolinite, opal-CT, talc. pyrite, native sulfur, and alunite. Similar styles of alteration are typically known from high-sulfidation epithermal systems on land. Alunite-bearing, advanced argillic alteration in the Hine Hina field confirms the role of acidic. volatile-rich fluids, and a delta(34)S value of +10.4 parts per thousand for the sulfur in the alunite is consistent with established kinetic isotope effects which accompany the disproportionation of magmatic SO2 into H2S and H2SO4. The Hine Hina field occurs near the propagating tip of the Valu Fa back-are spreading center (i.e., dominated by dike injections and seafloor eruptions) and therefore may have experienced the largest contribution of magmatic volatiles of the three fields. The sulfur isotopic ratios of the hydrothermal precipitates and the presence of a distinctive epithermal-like argillic alteration in the Hine Hina field suggest a direct contribution of magmatic vapor to the hydrothermal system and support the concept that magmatic volatiles may be an important component of some volcanogenic massive sulfide-forming hydrothermal systems.",,,,,,,,,,,,,,,,,,,0026-4598,,,,,MAR,1998,33.0,3,,,,,226,237,,10.1007/s001260050143,0,,,,,,,,,,,,,WOS:000073026300002,0.0
J,"Zeljko, TV; Pavlek, M; Mestrovic, N; Plohl, M",,,,"Zeljko, Tanja Vojvoda; Pavlek, Martina; Mestrovic, Nevenka; Plohl, Miroslav",,,Satellite DNA-like repeats are dispersed throughout the genome of the Pacific oyster Crassostrea gigas carried by Helentron non-autonomous mobile elements,SCIENTIFIC REPORTS,,,,,,,,,,,,"Satellite DNAs (satDNAs) are long arrays of tandem repeats typically located in heterochromatin and span the centromeres of eukaryotic chromosomes. Despite the wealth of knowledge about satDNAs, little is known about a fraction of short, satDNA-like arrays dispersed throughout the genome. Our survey of the Pacific oyster Crassostrea gigas sequenced genome revealed genome assembly replete with satDNA-like tandem repeats. We focused on the most abundant arrays, grouped according to sequence similarity into 13 clusters, and explored their flanking sequences. Structural analysis showed that arrays of all 13 clusters represent central repeats of 11 non-autonomous elements named Cg_HINE, which are classified into the Helentron superfamily of DNA transposons. Each of the described elements is formed by a unique combination of flanking sequences and satDNA-like central repeats, coming from one, exceptionally two clusters in a consecutive order. While some of the detected Cg_HINE elements are related according to sequence similarities in flanking and repetitive modules, others evidently arose in independent events. In addition, some of the Cg_HINE's central repeats are related to the classical C. gigas satDNA, interconnecting mobile elements and satDNAs. Genome-wide distribution of Cg_HINE implies non-autonomous Helentrons as a dynamic system prone to efficiently propagate tandem repeats in the C. gigas genome.",,,,,"Plohl, Miroslav/AAQ-6428-2021; Pavlek, Martina/AAD-9359-2019",,,,,,,,,,,,,,2045-2322,,,,,SEP 15,2020,10.0,1,,,,,,,15107,10.1038/s41598-020-71886-y,0,,,,,,,,32934255.0000,,,,,WOS:000573753200047,0.0
J,"Lambicchi, L; Ornaghi, S; Dal Molin, G; Paterlini, G; Bernasconi, DP; Moltrasio, F; Vergani, P",,,,"Lambicchi, Laura; Ornaghi, Sara; Dal Molin, Giulia; Paterlini, Giuseppe; Bernasconi, Davide P.; Moltrasio, Francesca; Vergani, Patrizia",,,Different antecedents and neonatal condition in neonatal arterial ischemic stroke and hypoxic-ischemic neonatal encephalopathy,INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS,,,,,,,,,,,,"Objective To define similarities and differences between neonatal arterial ischemic stroke (NAIS) and hypoxic-ischemic neonatal encephalopathy (HINE). Methods A retrospective case-control study was conducted of neonates born at 35 weeks or more and weighing 1800 g or more at a tertiary care university hospital, between 2005 and 2016, with NAIS (group A), perinatal asphyxia (PA) with Stage II-III HINE (group B), and PA with or without Stage I HINE (group C). Ante- and intrapartum data, neonatal characteristics, and placental histopathology were compared. Results Eleven neonates were identified in group A, 10 in group B, and 227 in group C. Sentinel events occurred exclusively in groups B (80%) and C (41.4%). Umbilical cord blood gas values and Apgar score were worse in groups B and C compared to group A. No group A neonates required resuscitation at birth, whereas all group B and one-third of group C neonates did. Seizures developed only in neonates in groups A and B. One neonatal death occurred in group A. There were no significant differences in placental histopathology. Conclusion NAIS and PA/HINE cases have different intrapartum and neonatal features. PA does not seem necessary for the occurrence of NAIS. More research is needed regarding associated placental abnormalities.",,,,,"Ornaghi, Sara/GXW-2481-2022; Vergani, Patrizia/H-4580-2011; Ornaghi, Sara/K-4261-2018","Ornaghi, Sara/0000-0001-6898-7217; BERNASCONI, DAVIDE PAOLO/0000-0001-8771-5428",,,,,,,,,,,,,0020-7292,1879-3479,,,,MAY,2022,157.0,2,,,,,333,339,,10.1002/ijgo.13781,0,,JUN 2021,,,,,,34101180.0000,,,,,WOS:000664340200001,0.0
J,"Maunu, J; Lehtonen, L; Lapinleimu, H; Matomaki, J; Munck, P; Rikalainen, H; Parkkola, R; Haataja, L",,,,"Maunu, Jonna; Lehtonen, Liisa; Lapinleimu, Helena; Matomaki, Jaakko; Munck, Petriina; Rikalainen, Hellevi; Parkkola, Riitta; Haataja, Leena",,Pipari Study Grp,Ventricular dilatation in relation to outcome at 2 years of age in very preterm infants: a prospective Finnish cohort study,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,,,,,,,,,,,,"Aim The aim of this study was to analyse the relation between ventricular dilatation at term and neurodevelopmental outcome at 2 years corrected age in infants of very low birthweight (VLBW) or very low gestational age (VLGA). Method A total of 225 VLBW or VLGA infants (121 males, 104 female; mean birthweight 1133g, SD 333g; mean gestational age 29wks, SD 2wks 5d) born in Turku University Hospital were included. Ventricular-brain ratio and the widths of each lateral ventricular horn were determined using ultrasonography, and the volume of the ventricles was measured by magnetic resonance imaging at term. The 2-year outcome measures included scores for the Hammersmith Infant Neurological Examination, the presence of cerebral palsy (CP), the Mental Developmental Index (MDI) of the Bayley Scales of Infant Development (2nd edition), and the presence of severe hearing or vision impairments or any neurodevelopmental impairment (NDI). Results CP was diagnosed in 15 participants (6.7%) and severe hearing deficit in 12 participants (5.3%). No severe vision impairment was found. Mild and severe cognitive delay was found in 24 (10.7%) and 8 (3.6%) of the VLBW or VLGA infants respectively. Isolated ventricular dilatation did not increase the risk for developmental impairments. However, ventricular dilatation with additional brain pathology was significantly associated with CP, MDI score below 70, and NDI. A ventricular-brain ratio above 0.35 was a sensitive measure of developmental impairment. Interpretation Ventricular dilatation at term increases the risk of poor developmental outcome only when associated with other brain pathology. The ventricular-brain ratio is a useful clinical tool for determining the prognosis in VLBW and VLGA infants.",,,,,"Stolt, Suvi/V-5060-2018; Lapinleimu, Helena/AAT-8415-2021; Parkkola, Riitta/AAZ-1341-2020; Haataja, Leena/GPG-3986-2022; Haataja, Leena/G-1160-2016; Munck, Petriina/AAF-6418-2020","Stolt, Suvi/0000-0002-6029-5459; Haataja, Leena/0000-0002-8057-6194; Lehtonen, Liisa/0000-0001-8925-2594; Munck, Petriina/0000-0002-3226-8170",,,,,,,,,,,,,0012-1622,1469-8749,,,,JAN,2011,53.0,1,,,,,48,54,,10.1111/j.1469-8749.2010.03785.x,0,,,,,,,,21039438.0000,,,,,WOS:000284891900013,0.0
J,"Scoles, GA; Miller, JA; Foil, LD",,,,"Scoles, Glen A.; Miller, J. Allen; Foil, Lane D.",,,"Comparison of the efficiency of biological transmission of Anaplasma marginale (Rickettsiales : Anaplasmataceae) by Dermacentor andersoni stiles (Acari : Ixodidae) with mechanical transmission by the horse fly, Tabanus fuscicostatus hine (Diptera : Muscidae) (vol 45, pg 109, 2008)",JOURNAL OF MEDICAL ENTOMOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0022-2585,,,,,MAY,2008,45.0,3,,,,,IV,IV,,,,,,,,,,,,,,,,WOS:000257259500001,0.0
J,"Svabova, J; Valkova, J; Haberlova, J",,,,"Svabova, J.; Valkova, J.; Haberlova, J.",,,The functional assessment and tests for children patients with spinal muscular atrophy,CESKA A SLOVENSKA NEUROLOGIE A NEUROCHIRURGIE,,,,,,,,,,,,"Introduction to functional tests and scales used by Neuromuscular center in the University Hospital in Motol. These examinations of motor skills for patients with spinal muscular atrophy were developed and are used to evaluate the state of complex motor functions to evaluate the natural course of spinal muscular atrophy. They are especially important for the treatment with Spinraza determination of default state with the aim to observe the efficiency on motor functions. For now, motor scales mentioned in the text are only a marker of the available treatment, therefore extremely needed.",,,,,,,,,,,,,,,,,,,1210-7859,1802-4041,,,,,2020,83.0,,,2,,,S24,S26,,10.48095/cccsnn2S24,0,,,,,,,,,,,,,WOS:000631103800008,0.0
J,"Videman, M; Stjerna, S; Roivainen, R; Nybo, T; Vanhatalo, S; Gaily, E; Leppanen, JM",,,,"Videman, Mari; Stjerna, Susanna; Roivainen, Reina; Nybo, Taina; Vanhatalo, Sampsa; Gaily, Eija; Leppanen, Jukka M.",,,Evidence for spared attention to faces in 7-month-old infants after prenatal exposure to antiepileptic drugs,EPILEPSY & BEHAVIOR,,,,,,,,,,,,"Introduction: Prenatal antiepileptic drug (AED) exposure is associated with an increased risk of cognitive impairment and autism spectrum disorders detected mainly at the age of two to six years. We examined whether the developitiental aberrations associated with prenatal AED exposure-could be-detected already in infancy and whether effects on visual attention can be observed at this early age. Material and methods: We compared a prospective cohort of infants with in utero exposure to AED (n = 56) with infants without drug exposures (n = 62). The assessments performed at the age of seven months included standardized neurodevelopmental scores (Griffiths Mental Developmental Scale and Hammersmith Infant Neurological Examination) as well as a novel eye-tracking-based test for visual attention and orienting to faces. Background information included prospective collection of AED exposure data, pregnancy outcome, neuropsychological evaluation of the mothers, and information on maternal epilepsy type. Results: Carbamazepine, oxcarbazepine, and valproate, but not lamotrigine or levetiracetam, were associated with impaired early language abilities at the age of seven months. The general speed of visuospatial orienting or attentional bias for faces measured by eye-tracker-based tests did not differ between AED-exposed and control infants. Discussion: Our findings support the idea that prenatal AED exposure may impair verbal abilities, and this effect may be detected already in infancy. In contrast, the early development of attention to faces was spared after in utero AED exposure. (C) 2016 Elsevier Inc. All rights reserved.",,,,,"Videman, Mari/AAW-8324-2020","Roivainen, Reina/0000-0002-6504-7032",,,,,,,,,,,,,1525-5050,1525-5069,,,,NOV,2016,64.0,,,,,,62,68,,10.1016/j.yebeh.2016.09.023,0,,,,,,,,27732918.0000,,,,,WOS:000389734800012,0.0
J,"Morris, E; Forman, D; Haward, B",,,,"Morris, E.; Forman, D.; Haward, B.",,,"The impact of the Calman-Hine report: analysis of breast and colorectal cancer surgical workloads and the degree of surgical site specialization in the Yorkshire region of the UK, 1990-2000",EUROPEAN JOURNAL OF CANCER CARE,,,,,,,,,,,,"The 1995 Calman-Hine report set out the first overall cancer policy for England and Wales, with the aim of improving the quality of care offered to cancer patients. One of its key recommendations was to concentrate cancer care in the hands of site-specialist doctors. This retrospective population-based study aimed to determine whether this recommendation has been implemented across the Yorkshire region of the UK (population 3.6 million) for breast and colorectal cancer surgery. Information on all breast and colorectal cancer patients diagnosed between 1990 and 2000 within the former Yorkshire Regional Health Authority of the UK was obtained from the Northern and Yorkshire Cancer Registry and Information Service. The annual median workloads of each surgeon operating on these patients, in terms of breast and/or colorectal cancer, were calculated. Each surgeon was categorized as either specialist or non-specialist based on his or her self-stated interests or workload. The proportion of breast and colorectal patients in each Trust and in each year receiving surgery from a site specialist was calculated to determine the extent of surgical site specialization. The distribution of surgeons' workloads in breast and colorectal cancer surgery was also examined across three time periods; 1990-93, 1994-97 and 1998-2000. There has been a major shift towards surgical site specialization in breast and colorectal cancer care across Yorkshire. The effect was more marked in breast cancer than in colorectal cancer. The degree of surgical site specialization varied considerably across hospital Trusts. In both cancer sites, the move towards surgical site specialization began prior to the publication of the Calman-Hine report.",,,,,,,,,,,,,,,,,,,0961-5423,,,,,MAR,2007,16.0,2,,,,,150,155,,10.1111/j.1365-2354.2006.00723.x,0,,,,,,,,17371424.0000,,,,,WOS:000244942500007,0.0
S,"Fu, XH; Wang, ZQ; Feng, BQ",,"Wang, G; Peters, JF; Skowron, YY; Yao, YY",,"Fu, Xianghua; Wang, Zhiqiang; Feng, Boqin",,,A constructive algorithm for training heterogeneous neural network ensemble,"ROUGH SETS AND KNOWLEDGE TECHNOLOGY, PROCEEDINGS",Lecture Notes in Artificial Intelligence,,,,1st International Conference on Rough Sets and Knowledge Technology (RSKT 2006),"JUL 24-26, 2006","Chongqing, PEOPLES R CHINA","Int Rough Set Soc, Rough Set & Soft Computat Soc, Chinese Assoc Artificial Intelligence, Natl Nat Sci Fdn China, Chongqing Univ Posts & Telecommun, Chongqing Inst Technol, Chongqing Jiaotong Univ, Chongqing Educ Commiss, Chongqing Sci & Technol Commiss, Chongqing Informat Ind Bur, Chongqing Assoc Sci & Technol",,,,"This paper presents a new algorithm to construct a neural network ensemble (NNE) based on heterogeneous component neural networks with negative correlation learning. The constructive algorithm consists of two parts: a sub-algorithm to construct best heterogeneous component neural networks with negative correlation learning dynamically (CBHNN), and a sub-algorithm to construct heterogeneous NNE with trained heterogeneous neural networks incrementally (CHNNE). The experiment results showe that HNNE is better than the traditional homological NNE method.",,,,,,,,,,,,,,,,,,,0302-9743,1611-3349,3-540-36297-5,,,,2006,4062.0,,,,,,396,401,,,,,,,,,,,,,,,,WOS:000239623500057,0.0
